"Some main goods for importation by Main goods and Year"

"Main goods";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Prel. 2016 (*)"
"Others (Thous. Tons)";..;..;..;..;..;224.0;62.2;48.2;52.1;79.5;93.4;162.7;321.7;260.6;209.0;223.0;353.0;368.5;340.8;481.0;618.3;414.7
"Iron, steel (Thous. Tons)";1116.2;1548.5;1400.9;1786.0;2253.6;2845.0;3870.1;4945.9;4622.8;5152.0;5495.1;5667.0;8115.5;8466.0;9704.0;9082.0;7382.0;7612.7;9455.0;11753.0;15513.2;18327.1
"Of which: Blank (Thous. Tons)";..;..;..;..;..;1227.0;1772.0;2217.0;1855.0;2278.3;2239.7;1972.2;2173.8;2411.6;2432.0;2009.0;892.0;465.0;367.4;619.0;1926.5;1078.3
"Motor vehicles, assembled (Piece)";..;..;..;..;..;16362.0;28269.0;29355.0;21355.0;24961.0;21279.0;12496.0;30471.0;51059.0;80410.0;53899.0;54647.0;26680.0;35787.0;70516.0;126163.0;112497.0
"Kind of 9 seats or less (Piece)";..;..;..;..;..;252.0;920.0;757.0;1436.0;3542.0;5447.0;3199.0;14605.0;27986.0;47968.0;35654.0;19294.0;13655.0;15500.0;31538.0;51427.0;50601.0
"Kind of more than 9 seats (Piece)";..;..;..;..;..;1996.0;3066.0;1161.0;1006.0;1059.0;749.0;850.0;1257.0;868.0;1560.0;415.0;180.0;176.0;625.0;933.0;1255.0;865.0
"Motor truck (Piece)";12223.0;15774.0;8901.0;10575.0;6981.0;13048.0;22168.0;24911.0;16094.0;16445.0;12334.0;7676.0;10447.0;15899.0;23743.0;14458.0;14282.0;8762.0;15331.0;23476.0;48991.0;47246.0
"Others (Piece)";..;..;..;..;..;1066.0;2115.0;2526.0;2819.0;3915.0;2749.0;771.0;4162.0;6342.0;7139.0;3372.0;20891.0;4087.0;4331.0;14569.0;24490.0;13785.0
"Wheat flour (Thous. Tons)";254.2;296.0;151.6;271.0;159.4;86.7;65.6;61.6;52.1;48.2;38.8;38.0;77.0;69.2;..;..;..;..;..;..;..;..
"Clinkers (Thous. Tons)";959.3;635.6;861.6;785.8;243.7;214.5;1498.6;3500.5;4131.1;4084.4;4375.5;3615.0;3812.0;3694.5;3540.0;..;..;..;..;..;..;..
