"Imports of goods by group country, country and territory (*) by Group country, country and territory and Year"

"Group country, country and territory";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Prel. 2016"
"Belarus";2.3;2.7;3.7;6.7;5.6;15.8;6.1;11.1;6.2;11.2;23.0;22.7;65.1;96.5;63.1;85.7;199.3;167.2;138.2;93.1;120.1;92.0
"Bulgaria";4.0;1.4;1.1;0.9;1.9;4.5;2.8;2.3;7.2;2.7;5.7;7.4;10.3;16.0;27.3;49.2;42.2;21.7;26.3;39.4;61.6;171.0
"Hungary";19.3;10.8;19.0;22.2;13.9;15.2;14.7;14.0;19.0;16.4;18.5;25.6;28.9;43.0;66.7;106.3;117.0;63.4;87.6;120.5;129.4;173.2
"Russian Federation";144.8;186.5;158.0;216.3;245.6;240.5;376.4;500.6;491.8;671.5;766.6;455.8;552.2;969.6;1288.1;999.1;694.0;829.4;855.1;826.7;748.2;1131.0
"Romania";..;0.2;1.0;1.1;0.7;2.0;3.1;1.8;22.7;12.1;10.4;7.3;9.0;12.7;14.2;32.1;29.0;21.9;46.7;51.3;73.4;168.4
"Czech Rep.";4.0;6.8;7.7;6.9;6.5;6.3;7.6;8.8;14.2;14.4;15.9;22.0;23.1;23.0;24.6;70.3;36.5;62.1;57.3;74.9;75.6;104.6
"Slovakia";3.1;3.4;1.7;1.5;6.9;2.9;1.8;1.7;1.4;3.1;2.1;2.6;2.3;4.4;3.8;15.7;13.5;16.5;15.4;28.3;18.1;32.3
"Ukraine";5.9;6.3;30.8;24.4;45.5;85.9;94.8;239.0;224.1;240.6;191.5;118.1;38.5;289.6;309.4;140.0;105.2;92.4;146.0;116.4;74.5;75.9
"Denmark";..;32.4;21.8;38.4;26.5;27.8;65.5;75.3;72.0;77.2;70.2;111.2;170.6;146.4;106.1;116.4;149.6;191.9;186.9;176.6;244.0;331.8
"Ireland";..;2.4;5.9;5.7;11.9;8.9;5.3;12.2;15.7;14.9;22.2;22.1;40.9;43.6;50.3;110.5;267.3;647.0;958.3;211.6;286.2;1026.8
"Iceland";..;0.2;1.8;1.9;0.3;5.1;7.9;1.2;2.9;3.0;2.0;5.7;6.4;8.5;12.5;10.3;..;..;..;..;..;..
"United Kingdom";50.7;83.7;103.9;96.4;109.2;149.9;171.6;166.5;219.8;227.7;182.4;202.1;237.0;386.3;342.5;511.1;646.1;542.1;570.5;644.5;737.5;724.4
"Norway";1.1;7.3;2.5;5.4;1.7;7.5;5.4;5.6;6.7;18.4;15.8;23.5;24.6;76.8;72.4;129.5;166.0;131.3;131.1;189.9;202.6;263.7
"Finland";11.7;17.3;26.0;24.1;19.1;14.0;19.5;35.4;33.5;53.6;42.7;82.3;78.5;105.2;126.6;122.3;124.0;204.3;149.5;159.5;204.4;224.8
"Sweden";22.6;60.5;65.1;77.8;58.1;43.7;73.6;62.5;114.2;125.1;139.3;164.2;209.9;230.1;375.1;317.0;258.2;241.2;225.6;255.9;239.2;133.1
"Portugal";..;0.4;1.1;2.5;3.4;2.9;7.0;3.5;3.2;4.2;11.9;10.8;10.2;15.1;12.4;13.4;17.2;12.4;32.8;73.4;67.9;50.6
"Greece";..;0.2;0.5;0.3;1.1;2.5;0.9;2.8;1.1;2.0;4.9;1.9;6.9;28.1;7.3;5.8;11.9;22.5;17.8;22.1;28.5;50.4
"Italy";53.6;111.3;102.2;87.1;95.7;170.3;196.8;276.8;373.9;309.7;288.1;335.3;686.1;668.3;618.2;822.5;998.8;972.1;1172.7;1332.4;1451.5;1427.0
"Spain";..;8.1;28.1;23.9;31.0;59.0;46.9;67.2;78.7;94.1;76.7;96.8;139.4;199.8;141.4;230.6;262.2;283.7;311.5;352.3;399.8;451.4
"Austria";15.3;13.3;15.1;21.5;27.3;31.6;34.7;71.6;43.8;57.1;51.0;56.2;63.8;92.6;110.4;123.4;165.4;157.5;196.6;225.3;412.1;351.0
"Germany";175.5;288.2;280.8;359.9;268.7;295.2;396.7;558.1;614.6;694.3;661.9;914.5;1308.5;1479.9;1421.5;1742.4;2198.6;2377.3;2954.0;2606.6;3219.2;2850.2
"Belgium";21.7;59.9;80.0;69.5;85.2;92.0;72.2;94.7;167.8;137.6;171.2;225.4;312.2;348.3;300.9;320.2;346.9;411.5;500.8;519.5;494.2;476.0
"Netherlands";36.3;51.4;51.5;54.0;48.5;84.6;114.6;114.3;324.9;179.4;312.1;360.8;510.3;710.5;701.4;527.8;669.4;704.1;675.2;549.9;690.1;676.9
"Liechtenstein";..;..;..;..;..;13.5;19.8;8.6;3.5;0.3;0.3;0.1;0.2;..;..;...;669.4;704.1;..;..;..;..
