"Production of aquaculture by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Pre.2016"
"Gia Lai";56.0;60.7;65.7;71.0;76.0;79.0;84.0;85.0;92.0;153.0;188.0;240.0;278.0;377.0;552.0;1972.0;1933.0;1881.0;3231.0;2935.0;3772.0;3798.0
"Dak Lak";1335.0;2250.0;2261.0;2697.0;3929.0;4611.0;4966.0;6319.0;5235.0;4748.0;5774.0;5713.0;5744.0;6481.0;6965.0;9468.0;13203.0;13871.0;14268.0;14591.0;14876.0;14703.0
"Dak Nong";..;..;..;..;..;..;..;..;791.0;946.0;989.0;1053.0;1561.0;1566.0;1639.0;2181.0;1594.0;1565.0;2809.0;2897.0;3772.0;3798.0
"Lam Dong";2872.0;1658.0;1716.9;1792.0;1894.0;2046.0;2374.0;3056.0;4139.0;3874.0;3520.0;3483.0;4218.0;5236.0;5828.0;6433.0;7061.0;7115.0;7278.0;7388.0;8963.0;8811.0
"South East";27666.0;29749.1;29514.7;24675.0;25177.0;36427.0;45259.0;57566.0;62376.0;77004.0;78481.0;85099.0;89905.0;85625.0;83660.0;85776.0;95119.0;102537.0;107055.0;118105.0;119098.0;123376.0
"Binh Phuoc";200.0;666.0;1097.1;914.0;1332.0;1175.0;1650.0;2033.0;2862.0;3305.0;3820.0;4508.0;5269.0;7390.0;6941.0;6514.0;6034.0;3674.0;4777.0;5327.0;5393.0;6035.0
"Tay Ninh";543.0;761.7;921.0;1271.0;1155.0;1379.0;1716.0;1760.0;1816.0;3945.0;3653.0;3353.0;3489.0;5522.0;8019.0;9518.0;9970.0;9657.0;12075.0;14729.0;15430.0;12388.0
"Binh  Duong";194.0;207.0;221.0;225.0;229.0;232.0;248.0;274.0;331.0;2023.0;2874.0;3454.0;4059.0;4831.0;5169.0;5381.0;6616.0;6385.0;4197.0;3674.0;3733.0;3804.0
"Dong Nai";6131.0;5832.6;6615.0;5668.0;8285.0;12396.0;12855.0;15519.0;17755.0;26418.0;25424.0;27316.0;28947.0;32525.0;33081.0;31370.0;38229.0;42736.0;42037.0;43793.0;45593.0;47931.0
"Ba Ria - Vung Tau";1061.0;1732.8;1685.6;1306.0;1381.0;1436.0;2622.0;3754.0;4607.0;8434.0;10661.0;11128.0;9531.0;7544.0;9004.0;10687.0;11103.0;12377.0;13539.0;14218.0;15041.0;15796.0
"Ho Chi Minh city";19537.0;20549.0;18975.0;15291.0;12795.0;19809.0;26168.0;34226.0;35005.0;32879.0;32049.0;35340.0;38610.0;27814.0;21447.0;22306.0;23167.0;27708.0;30431.0;36364.0;33908.0;37422.0
"Mekong River Delta";266982.0;285926.3;259347.8;255564.0;295102.0;365141.0;444394.0;518743.0;634798.0;773293.0;1002730.0;1166775.0;1527205.0;1838638.0;1894448.0;1986556.0;2128956.0;2256889.0;2258874.0;2403331.0;2471327.0;2536427.0
"Long An";4029.0;4825.0;4791.0;8404.0;9724.0;8954.0;11573.0;11152.0;15180.0;18750.0;23444.0;25931.0;29577.0;28185.0;29564.0;30510.0;32194.0;29665.0;30416.0;31344.0;42253.0;44943.0
"Tien Giang";45161.0;36691.9;27341.0;28520.0;27813.0;28417.0;37267.0;40493.0;46510.0;54721.0;61095.0;67555.0;77497.0;97317.0;109832.0;120188.0;126014.0;135222.0;136602.0;137957.0;144992.0;150624.0
