"Production of fishery by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Prel. 2016"
"Central Highlands";8895.0;6588.7;6670.4;6994.0;8941.0;10286.0;10350.0;12882.0;13691.0;13443.0;14581.0;14682.0;16455.0;18432.0;20239.0;25258.0;29086.0;30064.0;33751.0;34655.0;38176.0;38413.0
"Kon Tum";184.0;178.9;295.1;248.0;442.0;789.0;901.0;957.0;1027.0;1087.0;1260.0;1393.0;1653.0;1826.0;2214.0;2211.0;2127.0;2210.0;2484.0;2840.0;3310.0;3791.0
"Gia Lai";64.0;165.8;168.4;183.0;194.0;201.0;214.0;218.0;264.0;344.0;443.0;551.0;633.0;800.0;1061.0;2544.0;2717.0;2771.0;4264.0;4204.0;4413.0;4468.0
"Dak Lak";3137.0;3943.0;4007.5;4353.0;5874.0;6614.0;6333.0;8120.0;6737.0;6417.0;7363.0;7300.0;7288.0;8024.0;8530.0;11031.0;14759.0;15335.0;15804.0;16166.0;16444.0;16265.0
"Dak Nong";..;..;..;..;..;..;..;..;992.0;1290.0;1558.0;1468.0;2158.0;1962.0;2118.0;2608.0;2007.0;2085.0;3299.0;3427.0;4422.0;4468.0
"Lam Dong";5510.0;2301.0;2199.4;2210.0;2431.0;2682.0;2902.0;3587.0;4671.0;4306.0;3957.0;3970.0;4723.0;5820.0;6316.0;6864.0;7476.0;7663.0;7899.0;8017.0;9587.0;9421.0
"South East";157594.0;164815.3;155844.4;154630.0;167060.0;194256.0;214652.0;243478.0;260314.0;297672.0;311110.0;325005.0;334915.0;338002.0;354755.0;364542.0;372591.0;406628.0;389356.0;417039.0;436421.0;464395.0
"Binh Phuoc";1158.0;1421.0;1553.7;1230.0;1681.0;1591.0;2061.0;2374.0;3191.0;3622.0;4175.0;4905.0;5757.0;6661.0;7524.0;6926.0;6361.0;4051.0;5176.0;5729.0;5896.0;6382.0
"Tay Ninh";1157.0;2887.1;2821.0;3081.0;3225.0;3923.0;4361.0;4473.0;4560.0;6679.0;6884.0;6714.0;6944.0;8513.0;11010.0;12578.0;13101.0;12864.0;15313.0;18150.0;18912.0;15841.0
"Binh  Duong";333.0;359.0;416.0;423.0;431.0;443.0;467.0;504.0;573.0;2431.0;3341.0;3970.0;4593.0;5174.0;5464.0;5661.0;6880.0;6650.0;4464.0;3947.0;4007.0;4047.0
"Dong Nai";12021.0;10332.6;11473.0;11041.0;12443.0;15755.0;16108.0;18817.0;20995.0;29766.0;28546.0;30559.0;32058.0;35186.0;35928.0;34852.0;42596.0;48179.0;47976.0;50248.0;52277.0;54678.0
"Ba Ria - Vung Tau";97268.0;106160.6;98358.7;103339.0;112470.0;130117.0;139875.0;163881.0;170314.0;198974.0;214642.0;222171.0;229853.0;240250.0;255945.0;261022.0;258721.0;285365.0;264264.0;283795.0;299731.0;326097.0
"Ho Chi Minh city";45657.0;43655.0;41222.0;35516.0;36810.0;42427.0;51780.0;53429.0;60681.0;56200.0;53522.0;56686.0;55710.0;42218.0;38884.0;43503.0;44932.0;49519.0;52163.0;55169.0;55598.0;57350.0
"Mekong River Delta";819222.0;889625.4;883592.5;907160.0;1024004.0;1169060.0;1273707.0;1354420.0;1468788.0;1622053.0;1846271.0;2021745.0;2386169.0;2701927.0;2819990.0;2999114.0;3169715.0;3385989.0;3439665.0;3604813.0;3703448.0;3822467.0
"Long An";18624.0;18218.0;18851.0;22404.0;22372.0;20566.0;24416.0;25539.0;26191.0;29527.0;32267.0;36129.0;39609.0;39516.0;40241.0;41573.0;45262.0;43291.0;43621.0;45381.0;54615.0;57568.0
"Tien Giang";89550.0;82608.9;71984.0;81920.0;90152.0;97578.0;105672.0;110632.0;117625.0;125956.0;136041.0;142711.0;153134.0;173106.0;189101.0;200910.0;211374.0;220048.0;228852.0;230989.0;242769.0;245817.0
"Ben Tre";118695.0;112633.1;92240.0;94167.0;102904.0;116365.0;127713.0;134263.0;129049.0;130271.0;137397.0;144963.0;175779.0;238407.0;233672.0;287585.0;327102.0;383120.0;393616.0;403582.0;418233.0;440194.0
"Tra Vinh";56120.0;63800.0;65180.0;68400.0;72954.0;86745.0;94000.0;102981.0;112020.0;132444.0;139376.0;133988.0;141734.0;146578.0;141623.0;152797.0;165845.0;147232.0;162744.0;175288.0;167343.0;172237.0
"Vinh Long";15782.0;16063.3;16267.3;16244.0;16363.0;17118.0;18796.0;20836.0;26065.0;30996.0;37198.0;53505.0;99224.0;108378.0;121628.0;140458.0;143104.0;141236.0;128915.0;111805.0;112174.0;114180.0
"Dong Thap";40703.0;55584.1;58973.2;52312.0;58236.0;58594.0;60214.0;64540.0;64403.0;82781.0;133652.0;180247.0;246081.0;297794.0;310907.0;360578.0;392074.0;438579.0;429310.0;478051.0;485622.0;491486.0
"An Giang";103107.0;120431.0;115879.0;104899.0;133007.0;171424.0;180213.0;189862.0;204298.0;212737.0;232192.0;235355.0;315840.0;356097.0;338366.0;333482.0;335399.0;339323.0;327200.0;340427.0;335439.0;364843.0
"Kien  Giang";174901.0;198231.0;204859.0;217160.0;224887.0;249210.0;275178.0;285790.0;306636.0;321382.0;353796.0;377777.0;399931.0;428485.0;467825.0;432489.0;463458.0;545962.0;589161.0;625840.0;646850.0;683221.0
"Can Tho";17482.0;17984.0;19443.0;17043.0;22675.0;24771.0;27959.0;37046.0;43431.0;65756.0;90237.0;116524.0;157080.0;187864.0;197877.0;178296.0;195201.0;197911.0;179890.0;179910.0;172412.0;166134.0
"Hau Giang";..;..;..;..;..;..;..;..;14154.0;20107.0;26104.0;29536.0;35521.0;41862.0;43910.0;47473.0;53592.0;65767.0;61923.0;60897.0;59918.0;60315.0
"Soc Trang";32356.0;40033.0;38800.0;42100.0;43000.0;49489.0;51880.0;56393.0;63320.0;72596.0;100943.0;113950.0;136000.0;169500.0;178720.0;168000.0;175295.0;181011.0;195063.0;206546.0;218742.0;233015.0
"Bac Lieu";33295.0;40112.0;50000.0;57993.0;66049.0;79365.0;92924.0;116911.0;138266.0;161305.0;172809.0;181050.0;198841.0;205151.0;221700.0;252266.0;253479.0;257966.0;260885.0;278447.0;298500.0;302444.0
"Ca Mau";118607.0;123927.0;131116.0;132518.0;171405.0;197835.0;214742.0;209627.0;223330.0;236195.0;254259.0;276010.0;287395.0;309189.0;334420.0;403207.0;408530.0;424543.0;438485.0;467650.0;490831.0;491013.0
