"Production of aquaculture fish by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Prel. 2016"
"Quang  Ngai";15.0;20.0;38.0;16.0;20.0;3.0;137.0;276.0;365.0;800.0;810.0;902.0;950.0;1130.0;1169.0;1200.0;1250.0;1340.0;1505.0;1339.0;1679.0;1686.0
"Binh Dinh";682.0;722.0;827.0;840.0;881.0;751.0;746.0;863.0;957.0;1166.0;1294.0;1537.0;1670.0;1860.0;2159.0;2289.0;2512.0;2686.0;3130.0;3414.0;3510.0;3543.0
"Phu Yen";29.0;71.0;56.4;79.0;120.0;120.0;138.0;140.0;158.0;239.0;259.0;394.0;513.0;657.0;593.0;686.0;870.0;952.0;1174.0;1077.0;807.0;819.0
"Khanh  Hoa";387.0;359.0;126.0;146.0;66.0;129.0;131.0;235.0;227.0;580.0;678.0;1396.0;2192.0;1430.0;1535.0;2787.0;3501.0;3468.0;3527.0;3642.0;3757.0;3626.0
"Ninh  Thuan";15.0;20.0;25.0;28.0;28.0;28.0;55.0;55.0;55.0;210.0;100.0;422.0;370.0;416.0;628.0;431.0;343.0;466.0;534.0;563.0;415.0;313.0
"Binh Thuan";50.0;150.0;378.0;0.0;726.0;1048.0;1105.0;840.0;1993.0;2135.0;1796.0;2551.0;2981.0;2902.0;4065.0;5114.0;5050.0;4912.0;4443.0;3911.0;4119.0;4523.0
"Central Highlands";4413.0;4134.9;4303.6;4687.0;6208.3;7184.0;7463.0;9917.0;10746.0;10239.0;11094.0;11218.0;12435.0;14701.0;16010.0;20985.0;25037.0;25784.0;29073.0;29532.0;33358.0;33307.0
"Kon Tum";150.0;166.2;260.0;226.0;423.0;593.0;588.0;643.0;701.0;728.0;873.0;997.0;1215.0;1361.0;1340.0;1313.0;1330.0;1410.0;1559.0;1788.0;2052.0;2327.0
"Gia Lai";56.0;60.7;65.7;71.0;76.3;79.0;84.0;85.0;90.0;153.0;188.0;239.0;278.0;376.0;552.0;1971.0;1931.0;1880.0;3230.0;2934.0;3760.0;3761.0
"Dak Lak";1335.0;2250.0;2261.0;2598.0;3815.0;4466.0;4417.0;6133.0;5050.0;4562.0;5567.0;5503.0;5514.0;6253.0;6731.0;9218.0;13132.0;13821.0;14212.0;14534.0;14823.0;14647.0
"Dak Nong";..;..;..;..;..;..;..;..;772.0;927.0;948.0;999.0;1216.0;1485.0;1570.0;2058.0;1585.0;1565.0;2801.0;2893.0;3760.0;3761.0
"Lam Dong";2872.0;1658.0;1716.9;1792.0;1894.0;2046.0;2374.0;3056.0;4133.0;3869.0;3517.0;3480.0;4212.0;5226.0;5817.0;6425.0;7059.0;7109.0;7271.0;7383.0;8963.0;8811.0
"South East";10525.0;11306.7;12252.6;11260.0;14310.2;18901.0;20122.0;22200.0;27423.0;44671.0;46248.0;50579.0;54352.0;59531.0;63532.0;65898.0;70899.0;71015.0;72649.0;79333.0;80785.0;78949.0
"Binh Phuoc";200.0;666.0;1097.1;914.0;1332.0;1175.0;1650.0;2033.0;2862.0;3305.0;3820.0;4508.0;5269.0;6102.0;6941.0;6514.0;6034.0;3674.0;4777.0;5327.0;5381.0;6025.0
"Tay Ninh";538.0;761.7;921.0;1271.0;1155.0;1379.0;1716.0;1747.0;1804.0;3929.0;3596.0;3334.0;3393.0;5460.0;7933.0;9396.0;9806.0;9467.0;11747.0;14414.0;15115.0;11976.0
"Binh  Duong";194.0;207.0;221.0;225.0;229.0;232.0;246.0;267.0;323.0;2016.0;2854.0;3418.0;4019.0;4758.0;5063.0;5270.0;6484.0;6254.0;4149.0;3635.0;3680.0;3747.0
"Dong Nai";5980.0;5504.0;6257.0;5254.0;7656.0;11757.0;11958.0;14172.0;16183.0;24739.0;23809.0;25971.0;26972.0;28432.0;28743.0;30989.0;33133.0;37577.0;36404.0;38320.0;40313.0;42706.0
"Ba Ria - Vung Tau";814.0;1178.0;1073.5;682.0;967.2;955.0;1473.0;2115.0;2341.0;4592.0;5926.0;5910.0;4571.0;4817.0;5722.0;6604.0;8633.0;6837.0;7775.0;8112.0;8351.0;8769.0
"Ho Chi Minh city";2799.0;2990.0;2683.0;2914.0;2971.0;3403.0;3079.0;1866.0;3910.0;6090.0;6243.0;7438.0;10128.0;9962.0;9130.0;7125.0;6809.0;7206.0;7797.0;9524.0;7945.0;5726.0
"Mekong River Delta";119475.0;155870.6;165591.4;164072.0;198714.0;234755.0;248468.0;283326.0;366052.0;476376.0;652262.0;790179.0;1115253.0;1419010.0;1465435.0;1556904.0;1662399.0;1780667.0;1691563.0;1761159.0;1804368.0;1817669.0
"Long An";3838.0;4560.0;4515.0;7872.0;9146.0;7974.0;9533.0;8542.0;10717.0;14113.0;17210.0;18640.0;22438.0;22368.0;22156.0;23751.0;23093.0;19254.0;18350.0;17973.0;29721.0;33017.0
"Tien Giang";13281.0;12223.9;14215.0;15465.0;15112.0;15238.0;19976.0;16091.0;20125.0;26365.0;36205.0;41568.0;49258.0;64962.0;76344.0;87925.0;90706.0;95117.0;98070.0;97432.0;103466.0;104166.0
"Ben Tre";5200.0;4725.0;7490.0;5215.0;5675.0;7331.0;9313.0;7244.0;9848.0;12034.0;20029.0;31968.0;56260.0;117456.0;110760.0;124850.0;142538.0;177009.0;172353.0;176446.0;183285.0;186112.0
"Tra Vinh";8523.0;7394.0;14500.0;15400.0;15100.0;17863.0;19091.0;25353.0;31312.0;45666.0;47587.0;47404.0;48084.0;54349.0;55114.0;53823.0;57425.0;53784.0;55771.0;53359.0;48069.0;56399.0
"Vinh Long";6093.0;6110.1;6092.4;6144.0;6503.0;6907.0;8159.0;11470.0;17112.0;22563.0;28967.0;45422.0;91223.0;100464.0;113772.0;132690.0;135360.0;133670.0;114560.0;105012.0;105593.0;107622.0
"Dong Thap";24461.0;27176.6;32163.0;31643.0;36709.0;34395.0;35388.0;35350.0;41857.0;66653.0;114808.0;158089.0;229022.0;279655.0;292720.0;341757.0;373243.0;420988.0;411727.0;457918.0;465916.0;471768.0
"An Giang";34421.0;47993.0;41133.0;40728.0;60742.0;80032.0;83335.0;110157.0;136231.0;152507.0;179112.0;181137.0;262532.0;313739.0;295370.0;293441.0;292471.0;298395.0;286083.0;304185.0;311666.0;341280.0
"Kien  Giang";1560.0;3079.0;3671.0;3115.0;4673.0;5477.0;6700.0;4786.0;5863.0;6097.0;8754.0;14687.0;27724.0;44445.0;52817.0;46637.0;46415.0;48515.0;60914.0;67338.0;65454.0;61104.0
"Can Tho";6263.0;7054.0;7493.0;7043.0;11342.0;12963.0;15057.0;25148.0;36246.0;58986.0;83708.0;110090.0;150645.0;181656.0;191782.0;172331.0;188776.0;191724.0;172835.0;173739.0;166291.0;159839.0
"Hau Giang";..;..;..;..;..;..;..;..;9867.0;15740.0;21771.0;25335.0;31595.0;38401.0;40492.0;43482.0;49623.0;61691.0;57829.0;56877.0;56143.0;56553.0
"Soc Trang";2676.0;6814.0;3386.0;2121.0;2520.0;3173.0;3800.0;7620.0;9414.0;13696.0;28151.0;28909.0;45473.0;79000.0;80964.0;63440.0;73526.0;84240.0;65725.0;65724.0;64861.0;55455.0
"Bac Lieu";891.0;3794.0;3873.0;4463.0;7397.0;11805.0;9167.0;9638.0;13772.0;18447.0;34430.0;46400.0;50469.0;51940.0;54985.0;63814.0;70826.0;70260.0;67815.0;69392.0;71436.0;67047.0
"Ca Mau";12268.0;24947.0;27060.0;24863.0;23795.0;31597.0;28949.0;21927.0;23688.0;23509.0;31530.0;40530.0;50530.0;70575.0;78159.0;108963.0;118397.0;126019.0;109532.0;115765.0;132467.0;117307.0
